user_id,Attention,MemoryRecall,ProcessingSpeed,Reasoning,WorkingMemory,education_level,country,time_of_day,grand_index,gender_reclassified,age_band_derive,filter_$
1169818,18,16,5,202,7,4,US,10,113.284,Male,31-45,1
1170177,15,10,4,242,7,6,US,21,92.225,Male,46-60,1
1172351,12,8,5,261.5,8,3,US,21,95.274,Female,46-60,1
1173536,11,6,5,210,8,2,US,10,95.457,Male,31-45,1
1174223,18,12,6,250.5,7,6,US,0,111.088,Female,31-45,1
1174577,14,10,4,215,8,2,US,21,96.904,Female,31-45,1
1174952,12,5,6,222.5,9,4,US,0,102.383,Female,18-30,1
1175705,13,8,6,280.5,9,6,US,12,105.208,Male,61+,1
1178762,23,15,5,189.5,10,4,US,11,133.211,Female,18-30,1
1179000,7,8,5,266.5,9,4,US,13,92.842,Female,46-60,1
1179046,15,10,5,215,9,6,US,19,109.764,Female,18-30,1
1181701,10,11,5,244.5,9,4,US,13,104.887,Female,61+,1
1182162,16,12,5,197.5,7,3,US,13,116.946,Male,18-30,1
1183139,16,10,6,209,7,9,US,22,108.679, ,31-45,1
1185546,8,3,3,287,6,6,US,21,71.424,Female,61+,1
1185953,9,10,6,186,9,3,US,20,104.597,Female,46-60,1
1186010,23,13,6,217.5,8,4,US,22,115.699,Male,18-30,1
1187017,19,11,5,172,8,6,US,10,110.123,Female,46-60,1
1187822,18,14,7,224,8,4,US,13,125.159,Male,18-30,1
1191398,9,10,5,255,8,1,AU,11,98.706,Female,46-60,1
1191421,13,5,4,285,10,2,US,19,95.457,Male,61+,1
1192500,17,4,6,204,9,5,AU,22,110.007,Male,61+,1
1193048,15,10,4,199,8,7,US,13,104.887,Female,46-60,1
1193156,7,5,4,439,9,3,AU,21,74.024,Female,61+,1
1194849,13,5,5,213,7,4,US,21,96.306,Female,31-45,1
1195290,10,9,4,192.5,9,4,US,21,93.349,Female,31-45,1
1197858,14,11,6,228.5,7,6,CA,14,95.128,Female,46-60,1
1199225,18,12,6,182.5,8,3,US,16,115.845,Male,18-30,1
1201982,17,14,7,222,8,4,US,9,117.429,Female,61+,1
1202201,20,8,6,233,9,3,US,13,111.817,Female,18-30,1
1202271,21,10,6,174.5,9,3,US,12,122.641,Male,18-30,1
1203293,13,8,6,198,7,3,US,20,105.841,Female,46-60,1
1205257,9,3,5,260,7,3,US,20,80.892,Female,61+,1
1207749,7,3,6,219.5,7,3,US,19,92.842,Female,18-30,1
1208854,14,6,6,232,8,2,US,16,101.752,Male,46-60,1
1211430,27,11,6,253,8,7,US,12,116.016,Female,46-60,1
1212481,20,15,6,244.5,9,4,US,22,117.274,Male,31-45,1
1213856,11,3,4,211,8,6,US,18,94.837,Male,31-45,1
1215010,18,9,7,238,8,6,US,12,116.946,Female,46-60,1
1215400,31,18,7,232.5,9,9,US,18,134.47,Female,31-45,1
1216585,13,6,7,257,8,6,US,11,98.278,Male,61+,1
1216737,19,8,5,221.5,9,3,US,7,104.025,Male,18-30,1
1216887,26,12,6,269.5,10,4,US,19,116.016,Male,18-30,1
1218004,11,7,5,237,7,4,US,13,89.751,Male,61+,1
1218758,8,10,5,196,8,8,US,1,100.069,Male,18-30,1
1219176,11,14,4,228,6,6,US,11,95.621, ,46-60,1
1220963,7,5,4,209.5,8,3,CA,9,77.371,Female,46-60,1
1221027,16,8,4,306,8,3,US,21,86.883,Female,46-60,1
1221605,14,3,8,258,8,6,US,10,97.352,Male,46-60,1
1221682,12,7,5,195.5,10,2,US,14,115.512,Male,18-30,1
1221794,13,5,3,225,8,9,US,11,88.516, ,61+,1
1224655,21,9,5,244,8,4,US,15,106.944,Female,61+,1
1225422,8,7,6,252.5,8,3,US,15,95.762,Female,61+,1
1226389,8,4,3,298,7,3,US,10,69.327,Female,61+,1
1226753,12,10,4,247.5,8,3,US,20,88.188,Female,61+,1
1228575,26,8,7,217.5,9,5,AU,21,126.191,Female,46-60,1
1234832,11,10,6,183,9,3,US,15,112.805,Female,31-45,1
1238861,24,5,6,222,8,4,CA,11,103.57,Female,31-45,1
1243056,23,13,6,213,8,4,US,3,113.284,Female,31-45,1
1243919,11,6,6,263,9,6,AU,21,94.708,Female,18-30,1
