user_id,Attention,MemoryRecall,ProcessingSpeed,Reasoning,WorkingMemory,education_level,country,time_of_day,grand_index,gender_reclassified,age_band_derive,filter_$,cognitive_composite_score
53138325,7.0,8.0,6.0,200.5,8.0,4.0,US,9.0,98.854,Female,,1,45.9
53146642,14.0,9.0,7.0,196.5,7.0,5.0,US,13.0,111.088,Female,,1,46.7
53150701,11.0,5.0,6.0,199.0,9.0,5.0,NZ,10.0,105.519,Male,,1,46.0
53152,21.0,18.0,7.0,202.5,7.0,4.0,US,14.0,125.9,Female,,1,51.1
53153606,19.0,7.0,6.0,259.5,7.0,3.0,US,4.0,103.27,Male,,1,59.7
53153872,7.0,9.0,5.0,170.0,9.0,4.0,US,16.0,102.082,Female,,1,40.0
53156412,25.0,11.0,6.0,225.5,7.0,4.0,US,19.0,105.841,Male,,1,54.9
53160032,8.0,1.0,5.0,297.5,7.0,4.0,US,20.0,73.864,Female,,1,63.7
53160573,4.0,6.0,3.0,263.5,6.0,4.0,US,9.0,67.398,Female,,1,56.5
53164228,10.0,1.0,5.0,191.5,8.0,8.0,US,13.0,84.787,Male,,1,43.1
53166684,14.0,6.0,7.0,204.0,9.0,3.0,US,9.0,108.505,Male,,1,48.0
53167153,11.0,3.0,5.0,153.0,10.0,4.0,US,12.0,114.254,Female,,1,36.4
53173217,10.0,7.0,5.0,222.5,7.0,4.0,CA,6.0,93.502,Female,,1,50.3
53182885,17.0,4.0,7.0,241.5,9.0,6.0,US,15.0,114.426,Female,,1,55.7
53183370,15.0,9.0,6.0,197.0,9.0,9.0,US,21.0,111.817, ,,1,47.2
53186519,12.0,8.0,7.0,232.5,8.0,3.0,US,13.0,105.208,Female,,1,53.5
53187141,13.0,10.0,4.0,269.5,7.0,4.0,US,17.0,91.647,Female,,1,60.7
53187460,19.0,11.0,6.0,220.5,9.0,6.0,US,10.0,115.225,Female,,1,53.1
53189760,16.0,11.0,5.0,223.5,8.0,4.0,US,10.0,110.007,Male,,1,52.7
53191067,11.0,7.0,4.0,262.5,8.0,6.0,US,10.0,91.312,Male,,1,58.5
53193707,19.0,13.0,6.0,212.0,8.0,6.0,US,13.0,113.284,Male,,1,51.6
53198663,19.0,12.0,5.0,245.0,9.0,4.0,US,9.0,113.284,Male,,1,58.0
53200121,10.0,1.0,3.0,244.5,7.0,9.0,CA,16.0,68.967, ,,1,53.1
53201577,12.0,2.0,5.0,166.0,9.0,2.0,US,8.0,97.843,Female,,1,38.8
53205511,8.0,6.0,3.0,385.0825369944426,9.0,3.0,US,15.0,72.645,Male,,1,82.21650739888852
53206806,17.0,5.0,6.0,253.5,9.0,42.43419651522588,US,17.0,100.815,Female,,1,58.1
53207393,11.0,5.0,5.0,251.0,7.0,3.0,US,11.0,86.443,Female,,1,55.8
53210882,13.0,7.0,6.0,219.5,9.0,3.0,US,17.0,108.041,Female,,1,50.9
53212378,8.0,5.0,3.0,348.5,6.0,3.0,US,21.0,61.86, ,,1,74.1
53214258,7.0,12.0,6.0,196.5,8.0,4.0,AU,9.0,104.025,Female,,1,45.9
53217633,20.0,11.0,6.0,200.5,9.0,4.0,CA,16.0,127.104,Male,,1,49.3
53220642,13.0,9.0,6.0,244.0,8.0,3.0,US,7.0,104.025,Female,,1,56.0
53223517,15.0,16.0,7.0,234.0,8.0,3.0,US,14.0,112.641,Male,,1,56.0
53229224,16.0,12.0,6.0,274.5,9.0,4.0,US,8.0,115.361,Female,,1,63.5
53230095,11.0,8.0,5.0,185.0,7.0,3.0,US,10.0,93.171,Female,,1,43.2
53234877,17.0,3.0,3.0,215.0,8.0,4.0,US,11.0,94.264,Female,,1,49.2
53239905,19.0,7.0,6.0,282.0,9.0,6.0,US,14.0,106.133,Male,,1,64.6
53240546,21.0,13.0,5.0,247.0,8.0,4.0,US,11.0,117.274,Female,,1,58.8
53247050,20.0,6.0,5.0,282.0,10.0,4.0,US,16.0,106.133,Female,,1,64.6
53255057,11.0,9.0,6.0,205.0,8.0,9.0,AU,17.0,102.082,Female,,1,47.8
53260205,17.0,6.0,5.0,172.5,8.0,2.0,US,8.0,108.836,Male,,1,41.7
53260567,15.0,6.0,4.0,261.5,8.0,4.0,US,14.0,93.815,Female,,1,58.9
53261580,19.0,13.0,7.0,241.0,7.0,2.0,AU,20.0,105.037,Female,,1,57.4
53263107,21.0,7.0,3.0,385.0825369944426,9.0,4.0,US,8.0,104.025,Female,,1,85.01650739888852
53263908,13.0,3.0,5.0,199.5,10.0,4.0,US,11.0,105.208,Female,,1,46.1
53267210,12.0,11.0,5.0,208.5,8.0,6.0,US,17.0,106.944,Male,,1,48.9
53270843,15.0,7.0,5.0,212.0,7.0,2.0,US,7.0,94.837,Female,,1,49.2
53272869,18.0,12.0,7.0,218.0,9.0,9.0,US,10.0,120.426, ,,1,52.8
